controller,file,public_methods,requireLogin,requireAdmin,csrf,ownership
App\Controllers\AdminAIController,AdminAIController.php,-,yes,yes,yes,no
App\Controllers\AccountController,AccountController.php,-,yes,no,yes,yes
App\Controllers\WorkshopController,WorkshopController.php,-,yes,yes,yes,no
App\Controllers\VehicleProfileController,VehicleProfileController.php,-,yes,no,yes,yes
App\Controllers\VehicleController,VehicleController.php,-,yes,yes,yes,yes
App\Controllers\VehicleCatalogController,VehicleCatalogController.php,-,no,no,no,no
App\Controllers\TechnicianController,TechnicianController.php,-,yes,yes,yes,no
App\Controllers\SupplierController,SupplierController.php,-,yes,yes,yes,no
App\Controllers\ShopController,ShopController.php,-,no,no,no,no
App\Controllers\ServiceController,ServiceController.php,-,yes,yes,yes,no
App\Controllers\ReportController,ReportController.php,-,no,no,no,no
App\Controllers\RepairPartsController,RepairPartsController.php,-,yes,no,yes,no
App\Controllers\ProductController,ProductController.php,-,yes,yes,yes,no
App\Controllers\ProductCategoryController,ProductCategoryController.php,-,yes,yes,yes,no
App\Controllers\PaymentController,PaymentController.php,-,yes,no,yes,yes
App\Controllers\OrderController,OrderController.php,-,yes,no,yes,yes
App\Controllers\NotificationController,NotificationController.php,-,yes,no,yes,no
App\Controllers\MechanicRepairController,MechanicRepairController.php,-,no,no,no,no
App\Controllers\MechanicController,MechanicController.php,-,no,no,no,no
App\Controllers\MaintenanceController,MaintenanceController.php,-,yes,no,yes,yes
App\Controllers\LoyaltyController,LoyaltyController.php,-,no,no,no,no
App\Controllers\J2534Controller,J2534Controller.php,-,no,no,no,no
App\Controllers\InvoiceController,InvoiceController.php,-,yes,no,yes,yes
App\Controllers\InventoryController,InventoryController.php,-,yes,yes,yes,no
App\Controllers\HomeController,HomeController.php,-,no,no,no,no
App\Controllers\GuideController,GuideController.php,-,no,no,no,no
App\Controllers\FlashController,FlashController.php,-,no,no,no,no
App\Controllers\ECUProgrammerController,ECUProgrammerController.php,-,no,no,no,no
App\Controllers\ECUDatabaseController,ECUDatabaseController.php,-,no,no,no,no
App\Controllers\DiagnosticController,DiagnosticController.php,-,no,no,yes,yes
App\Controllers\CommonProblemController,CommonProblemController.php,-,no,no,no,no
App\Controllers\ChatController,ChatController.php,-,yes,no,yes,no
App\Controllers\CartController,CartController.php,-,yes,no,yes,yes
App\Controllers\BrandController,BrandController.php,-,no,no,no,no
App\Controllers\BookingController,BookingController.php,-,yes,yes,yes,yes
App\Controllers\ArticleController,ArticleController.php,-,yes,yes,yes,no
App\Controllers\AIRepairController,AIRepairController.php,-,no,no,yes,yes
App\Controllers\AdminVehicleController,AdminVehicleController.php,-,yes,yes,yes,no
App\Controllers\AdminUserController,AdminUserController.php,-,yes,yes,yes,no
App\Controllers\AdminProductImagesController,AdminProductImagesController.php,-,yes,yes,yes,no
App\Controllers\AdminOrderController,AdminOrderController.php,-,yes,yes,yes,no
App\Controllers\AdminDiagnosticController,AdminDiagnosticController.php,-,yes,yes,yes,no
App\Controllers\AdminController,AdminController.php,-,yes,yes,yes,no
App\Controllers\AdminCommunicationController,AdminCommunicationController.php,-,yes,yes,yes,no
App\Controllers\AdminAPIController,AdminAPIController.php,-,yes,yes,yes,no
