method,uri,handler
get,/,[HomeController::class|index]
get,/about,[HomeController::class|about]
get,/contact,[HomeController::class|contact]
get,/vehicles,[App\Controllers\VehicleCatalogController::class|index]
get,/vehicles/{brand}/{model}/{year},[App\Controllers\VehicleCatalogController::class|model]
get,/vehicles/{brand}/{model},[App\Controllers\VehicleCatalogController::class|model]
get,/vehicles/{brand},[App\Controllers\VehicleCatalogController::class|brand]
get,/services,[ServiceController::class|index]
get,/services/{slug},[ServiceController::class|show]
get,/diagnostic,[DiagnosticController::class|index]
get,/diagnostic/connect,[DiagnosticController::class|connect]
get,/diagnostic/scan,[DiagnosticController::class|scan]
post,/diagnostic/scan,[DiagnosticController::class|scan]
get,/diagnostic/result,[DiagnosticController::class|result]
get,/ai-diagnostic,[AIRepairController::class|index]
post,/ai-diagnostic/analyze,[AIRepairController::class|analyze]
get,/ai-diagnostic/report/{vehicle},[AIRepairController::class|report]
post,/api/diagnostic/analyze,[AIRepairController::class|apiAnalyze]
get,/common-problems,[CommonProblemController::class|index]
get,/maintenance-guides,[GuideController::class|index]
get,/mechanics,[MechanicController::class|index]
get,/articles,[ArticleController::class|index]
get,/articles/category/{slug},[ArticleController::class|category]
get,/articles/{slug},[ArticleController::class|show]
get,/shop,[ShopController::class|index]
get,/shop/search,[ShopController::class|search]
get,/products,[ShopController::class|index]
get,/products/{slug},[ShopController::class|product]
get,/booking,[BookingController::class|create]
post,/booking,[BookingController::class|store]
get,/booking/confirmation,[BookingController::class|confirmation]
get,/bookings,closure
get,/repairs,closure
get,/payment,closure
get,/invoice,closure
get,/api,closure
get,/login,[App\Controllers\AccountController::class|login]
post,/login,[App\Controllers\AccountController::class|login]
get,/register,[App\Controllers\AccountController::class|register]
post,/register,[App\Controllers\AccountController::class|register]
get,/logout,[App\Controllers\AccountController::class|logout]
get,/dashboard,[App\Controllers\AccountController::class|dashboard]
get,/account,[App\Controllers\AccountController::class|dashboard]
get,/account/dashboard,[App\Controllers\AccountController::class|dashboard]
get,/account/garage,[App\Controllers\AccountController::class|garage]
get,/account/orders,[App\Controllers\AccountController::class|orders]
get,/account/orders/{id},[App\Controllers\AccountController::class|orderShow]
get,/account/profile,[App\Controllers\AccountController::class|profile]
post,/account/profile,[App\Controllers\AccountController::class|updateProfile]
post,/account/password,[App\Controllers\AccountController::class|changePassword]
get,/account/repairs,[App\Controllers\AccountController::class|repairs]
get,/account/repairs/{id},[App\Controllers\AccountController::class|repairDetail]
get,/brands,[BrandController::class|index]
get,/brands/{brand},[BrandController::class|show]
get,/admin/login,[AdminController::class|login]
post,/admin/login,[AdminController::class|login]
get,/admin/logout,[AdminController::class|logout]
get,/admin,[AdminController::class|dashboard]
get,/admin/dashboard,[AdminController::class|dashboard]
get,/admin/services,[ServiceController::class|adminIndex]
get,/admin/services/create,[ServiceController::class|create]
post,/admin/services/store,[ServiceController::class|store]
get,/admin/services/edit/{id},[ServiceController::class|edit]
post,/admin/services/update/{id},[ServiceController::class|update]
post,/admin/services/delete/{id},[ServiceController::class|delete]
get,/admin/bookings,[BookingController::class|index]
get,/admin/bookings/view/{id},[BookingController::class|show]
post,/admin/bookings/status/{id},[BookingController::class|updateStatus]
post,/admin/bookings/delete/{id},[BookingController::class|delete]
get,/admin/users,[App\Controllers\AdminUserController::class|index]
get,/admin/users/edit/{id},[App\Controllers\AdminUserController::class|edit]
post,/admin/users/edit/{id},[App\Controllers\AdminUserController::class|update]
get,/admin/vehicles,[VehicleController::class|adminIndex]
get,/admin/vehicles/view/{id},[VehicleController::class|adminShow]
get,/admin/vehicles/intelligence,[AdminVehicleController::class|intelligence]
get,/admin/vehicles/intelligence/profile/{id},[AdminVehicleController::class|profile]
get,/admin/diagnostics,[AdminDiagnosticController::class|index]
get,/admin/diagnostics/show/{id},[AdminDiagnosticController::class|show]
get,/admin/workshop/dashboard,[App\Controllers\WorkshopController::class|dashboard]
get,/admin/workshop/repairs,[App\Controllers\WorkshopController::class|index]
get,/admin/workshop/repairs/{id},[App\Controllers\WorkshopController::class|show]
post,/admin/workshop/repairs/status/{id},[App\Controllers\WorkshopController::class|updateStatus]
get,/admin/technicians,[TechnicianController::class|index]
get,/admin/technicians/create,[TechnicianController::class|create]
post,/admin/technicians/create,[TechnicianController::class|create]
get,/admin/technicians/edit/{id},[TechnicianController::class|edit]
post,/admin/technicians/edit/{id},[TechnicianController::class|edit]
get,/admin/technicians/tasks,[TechnicianController::class|tasks]
get,/technician/dashboard,[TechnicianController::class|dashboard]
get,/technician/tasks,[TechnicianController::class|myTasks]
get,/technician/task/{id},[TechnicianController::class|showTask]
get,/notifications,[NotificationController::class|index]
post,/notifications/read/{id},[NotificationController::class|read]
get,/notifications/read/{id},[NotificationController::class|read]
get,/repair/chat/{id},[ChatController::class|conversation]
post,/repair/chat/send,[ChatController::class|send]
get,/admin/notifications,[AdminCommunicationController::class|notifications]
get,/admin/sms,[AdminCommunicationController::class|sms]
get,/admin/api/devices,[App\Controllers\AdminAPIController::class|devices]
post,/admin/api/devices/revoke/{id},[App\Controllers\AdminAPIController::class|revokeToken]
post,/admin/api/revoke-user/{id},[App\Controllers\AdminAPIController::class|revokeUserTokens]
get,/admin/api/logs,[App\Controllers\AdminAPIController::class|logs]
get,/admin/ai,[AdminAIController::class|index]
get,/admin/ai-knowledge,[AdminAIController::class|index]
get,/admin/ai-knowledge/create,[AdminAIController::class|create]
post,/admin/ai-knowledge/create,[AdminAIController::class|create]
get,/admin/ai-knowledge/edit/{id},[AdminAIController::class|edit]
post,/admin/ai-knowledge/edit/{id},[AdminAIController::class|edit]
get,/admin/brands,[AdminController::class|brands]
get,/account/vehicles,[VehicleController::class|index]
get,/account/vehicles/create,[VehicleController::class|create]
post,/account/vehicles/create,[VehicleController::class|store]
get,/account/vehicles/edit/{id},[VehicleController::class|edit]
post,/account/vehicles/update/{id},[VehicleController::class|update]
post,/account/vehicles/delete/{id},[VehicleController::class|delete]
get,/account/vehicles/history/{id},[VehicleController::class|history]
get,/account/vehicles/detail/{id},[VehicleController::class|detail]
get,/account/vehicle-profile,[VehicleProfileController::class|index]
get,/account/vehicle-profile/maintenance,[VehicleProfileController::class|maintenance]
get,/account/vehicle-profile/history,[VehicleProfileController::class|history]
get,/account/vehicle-profile/diagnostics,[VehicleProfileController::class|diagnostics]
get,/account/vehicle/{id},[App\Controllers\AccountController::class|vehicleDetail]
get,/account/vehicle/health/{id},[App\Controllers\AccountController::class|vehicleHealthReport]
post,/account/maintenance/create,[MaintenanceController::class|create]
post,/account/maintenance/status/{id},[MaintenanceController::class|updateStatus]
get,/admin/articles,[ArticleController::class|adminIndex]
get,/admin/articles/create,[ArticleController::class|adminCreate]
post,/admin/articles/create,[ArticleController::class|adminStore]
get,/admin/articles/edit/{id},[ArticleController::class|adminEdit]
post,/admin/articles/edit/{id},[ArticleController::class|adminUpdate]
post,/admin/articles/delete/{id},[ArticleController::class|adminDelete]
get,/admin/inquiries,[AdminController::class|inquiries]
get,/admin/appointments,[AdminController::class|appointments]
get,/admin/categories,[App\Controllers\ProductCategoryController::class|index]
get,/admin/categories/create,[App\Controllers\ProductCategoryController::class|create]
post,/admin/categories/create,[App\Controllers\ProductCategoryController::class|store]
get,/admin/categories/edit/{id},[App\Controllers\ProductCategoryController::class|edit]
post,/admin/categories/edit/{id},[App\Controllers\ProductCategoryController::class|update]
post,/admin/categories/delete/{id},[App\Controllers\ProductCategoryController::class|delete]
get,/admin/products,[ProductController::class|adminIndex]
get,/admin/products/create,[ProductController::class|adminCreate]
post,/admin/products/create,[ProductController::class|adminStore]
get,/admin/products/edit/{id},[ProductController::class|adminEdit]
post,/admin/products/edit/{id},[ProductController::class|adminUpdate]
post,/admin/products/delete/{id},[ProductController::class|adminDelete]
post,/admin/products/{id}/images/upload,[App\Controllers\AdminProductImagesController::class|upload]
post,/admin/products/{id}/images/delete,[App\Controllers\AdminProductImagesController::class|delete]
post,/admin/products/{id}/images/primary,[App\Controllers\AdminProductImagesController::class|setPrimary]
get,/admin/inventory,[InventoryController::class|index]
get,/admin/orders,[AdminOrderController::class|index]
get,/admin/orders/show/{id},[AdminOrderController::class|show]
get,/admin/orders/edit/{id},[AdminOrderController::class|edit]
post,/admin/orders/update-status/{id},[AdminOrderController::class|updateStatus]
get,/admin/inventory/history,[InventoryController::class|history]
get,/admin/inventory/low-stock,[InventoryController::class|lowStock]
post,/admin/inventory/increase/{id},[InventoryController::class|increase]
post,/admin/inventory/decrease/{id},[InventoryController::class|decrease]
post,/admin/inventory/adjust/{id},[InventoryController::class|adjust]
get,/admin/suppliers,[SupplierController::class|index]
get,/admin/suppliers/create,[SupplierController::class|create]
post,/admin/suppliers/create,[SupplierController::class|store]
get,/admin/suppliers/show/{id},[SupplierController::class|show]
get,/admin/suppliers/edit/{id},[SupplierController::class|edit]
post,/admin/suppliers/edit/{id},[SupplierController::class|update]
post,/admin/suppliers/delete/{id},[SupplierController::class|delete]
get,/cart,[CartController::class|index]
post,/cart/add,[CartController::class|add]
post,/cart/update,[CartController::class|update]
post,/cart/ajax-update,[CartController::class|ajaxUpdate]
post,/cart/remove,[CartController::class|remove]
get,/checkout,[OrderController::class|checkout]
get,/orders,[OrderController::class|index]
get,/orders/history,[OrderController::class|history]
get,/orders/show,[OrderController::class|history]
get,/orders/show/{id},[OrderController::class|show]
get,/orders/checkout,[OrderController::class|checkout]
post,/orders/place,[OrderController::class|placeOrder]
get,/orders/success/{id},[OrderController::class|success]
get,/payment/start,[App\Controllers\PaymentController::class|start]
get,/payment/start/{id},[App\Controllers\PaymentController::class|start]
get,/payment/callback,[App\Controllers\PaymentController::class|callback]
get,/payment/result,[App\Controllers\PaymentController::class|result]
get,/invoice/{id},[App\Controllers\InvoiceController::class|show]
get,/invoice/show/{id},[App\Controllers\InvoiceController::class|show]
get,/invoice/{id}/pdf,[App\Controllers\InvoiceController::class|downloadPdf]
get,/checkout/success,[OrderController::class|successCheckout]
get,/checkout/failed,[OrderController::class|failedCheckout]
get,/checkout/success/{id},[OrderController::class|successCheckout]
get,/checkout/failed/{id},[OrderController::class|failedCheckout]
get,/admin/invoices,[App\Controllers\InvoiceController::class|adminIndex]
get,/admin/invoices/show/{id},[App\Controllers\InvoiceController::class|adminShow]
get,/admin/homepage,[AdminController::class|homepage]
get,/admin/seo,[AdminController::class|seo]
get,/admin/media,[AdminController::class|media]
get,/sitemap.xml,closure
